,0,1,2,3,4,5,6,7,8
22,0.0003299258913626227,4.446638643776653e-33,0.00030094071585015295,1.8446261887213933e-10,2.995266581728269e-15,0.9993691189996378,2.0577221266107893e-18,1.5232678564264016e-10,1.4056353152272409e-08
23,0.013638466790280851,1.5993898162572855e-25,0.0009523663927679212,1.6650470698049894e-25,1.301565650215012e-07,5.1605677557621186e-05,0.9853573997947254,1.4067523660684015e-14,3.118809047328517e-08
24,9.291928163783078e-08,5.793924615667869e-23,2.737481986937934e-05,1.7453151202973643e-27,4.039218468298791e-10,0.9994944553656351,5.5337802589240255e-05,1.3859888351610462e-33,0.0004227386887045289
25,2.5781270487020087e-08,1.9070233693537487e-16,0.1857349656809886,1.15742394293987e-44,0.1351841969424599,2.1134055199622276e-09,0.6790792908024897,1.3251901926061043e-27,1.5186793819986055e-06
26,0.0609140191608733,3.590671702192215e-27,0.10671572178905867,2.132000492896942e-39,4.17332295360454e-08,5.442449093663536e-06,0.8323647695803739,2.226143469557661e-15,5.287369169421272e-09
27,0.004721530525694446,9.318440867041673e-24,0.0008706573109095697,3.585186940897165e-39,1.3519914502189263e-08,0.31873441650838036,0.6756695127299617,4.41342746392234e-18,3.869405144950187e-06
28,0.3692833403769044,3.8401449563852705e-28,0.11894404417161764,9.6117346243952e-08,1.2826741734389557e-09,0.2041494352917888,0.3076228795699144,8.53886829245142e-11,2.0310437073051063e-07
29,1.0658607010633973e-21,6.373626817221198e-05,1.0180691494206059e-07,2.976887478086021e-55,0.22976748093344482,7.488885678657451e-11,8.122146718953945e-07,2.58830283150848e-51,0.770167868701914
30,5.207966631735889e-06,9.557249259840853e-22,0.004968569367765552,2.4921731466829773e-28,1.2814576761577612e-09,0.9942286370360068,0.00020044214908012273,2.7976048837592437e-19,0.0005971421990534195
31,1.4558016034966593e-22,4.4070251914651326e-05,4.1653456048072054e-08,7.899723723381474e-42,0.05155800092813888,3.2194625889442627e-10,3.6399539708237955e-09,1.4658540344530597e-63,0.9483978832045958
