,cluster_11
1470,4
1471,7
1472,4
1473,2
1474,0
1475,0
1478,7
1479,6
1481,3
1484,9
1485,8
1487,7
1488,10
1489,2
1490,5
1491,0
1493,5
1494,9
1495,1
1496,6
1497,1
1498,5
1499,2
1501,9
1503,0
1504,8
1505,3
1506,6
1509,1
1512,6
1513,9
1515,3
1516,7
1517,3
1518,6
1519,2
1520,4
1521,0
1523,7
1524,2
1525,7
1526,9
1528,5
1529,1
1530,7
1531,6
1533,7
1536,0
1537,9
1538,9
1539,7
1540,1
1541,8
1542,2
1543,4
1544,6
1545,6
1547,2
1548,1
1550,0
1552,10
1554,0
1557,8
1558,4
1560,4
1562,7
1563,5
1564,0
1565,0
1566,2
1568,0
1569,6
1570,7
1571,8
1572,8
1573,8
1577,4
1578,4
1579,3
1580,3
1581,4
1582,1
1583,0
1584,9
1585,4
1586,3
1589,7
1590,7
1592,6
1595,4
1598,9
1600,4
1601,0
1602,4
1603,4
1605,7
1606,4
1609,1
1610,0
1611,0
1612,0
1615,10
1616,9
1617,10
1618,8
1619,0
1620,8
1621,2
1622,6
1623,8
1624,6
1625,8
1626,2
1627,1
1629,5
1630,10
1632,0
1633,2
1634,7
1636,7
1638,0
1639,0
1641,9
1642,4
1644,8
1645,9
1647,1
1649,8
1650,2
1651,6
1653,9
1654,3
1657,10
1659,6
1661,5
1662,2
1663,4
1665,8
1667,0
1668,8
1670,8
1671,0
1674,4
1675,8
1676,8
1677,7
1678,10
1680,4
1682,2
1686,8
1687,2
1688,6
1689,3
1690,4
1694,6
1695,3
1696,7
1697,1
1699,9
1700,4
1701,8
1702,2
1703,0
1705,6
1708,2
1710,0
1711,0
1714,0
1715,6
1716,2
1718,10
1720,3
1721,0
1722,6
1723,4
1724,8
1725,0
1729,7
1733,2
1734,2
1735,9
1737,2
1738,0
1739,6
1740,8
1742,1
1743,5
1744,7
1746,10
1751,0
1753,5
1755,6
1756,6
1762,0
1766,2
1767,2
1768,3
1769,0
1771,4
1774,10
1775,3
1776,7
1777,8
1778,6
1780,6
1782,8
1783,10
1784,0
1786,10
1787,2
1788,5
1790,8
1791,2
1792,0
1793,6
1794,0
1795,9
1796,6
1797,8
1799,2
1800,8
1801,4
1803,6
1804,6
1805,6
1808,6
1810,0
1811,4
1812,2
1813,10
1814,3
1815,4
1816,3
1817,2
1818,1
1819,10
1820,7
1821,5
1824,7
1825,8
1826,4
1827,9
1828,8
1829,5
1830,2
1831,5
1832,0
1833,2
1834,10
1836,8
1837,10
1838,0
1839,3
1841,6
1843,5
1844,0
1845,9
1847,9
1848,4
1850,4
1851,0
1852,7
1853,2
1854,9
1855,7
1856,3
1857,2
1858,9
1859,4
1860,7
1861,5
1863,4
1864,2
1865,2
1866,6
1868,8
1869,2
1871,7
1872,2
1874,7
1875,2
1876,3
1877,0
1881,2
1882,2
1884,10
1885,0
1888,10
1891,4
1892,10
1893,7
1894,7
1895,9
1896,10
1897,3
1899,8
1901,2
1903,7
1904,0
1905,6
1906,7
1909,2
1911,7
1912,0
1914,2
1915,2
1917,0
1918,6
1919,3
1920,8
1921,6
1922,5
1923,10
1924,2
1925,2
1926,7
1928,7
1929,10
1931,6
1933,3
1934,6
1935,6
1936,3
1938,0
1939,0
1940,9
1941,3
1942,2
1943,2
1944,8
1945,1
1947,5
1950,0
1951,8
1952,3
1954,7
1955,0
1958,0
1959,1
1960,7
1962,4
1963,10
1964,6
1966,3
1969,6
1971,9
1972,6
1973,9
1975,3
1976,0
1977,4
1978,6
1979,3
1980,7
1982,3
1985,8
1987,6
1988,0
1989,7
1990,1
1992,4
1993,2
1994,4
1995,2
1996,7
1997,4
1998,9
1999,0
2000,9
2001,0
2003,5
2005,6
2007,6
2008,8
2009,0
2010,7
2011,6
2012,2
2014,10
2015,1
2017,7
2018,3
2019,0
2020,2
2021,1
2022,3
2023,7
2024,0
2025,7
2026,0
2027,5
2029,7
2031,2
2032,8
2033,2
2034,3
2035,3
2036,10
2037,5
2038,3
2039,0
2041,3
2042,7
2043,8
2044,8
2045,2
2046,7
2047,6
2048,7
2049,7
2051,0
2052,8
2054,8
2055,1
2056,7
2057,3
2059,0
2061,0
2062,3
2063,0
2064,8
2065,1
2067,5
2068,10
2069,0
2070,0
2071,0
2074,4
2075,2
2076,9
2077,7
2078,5
2079,1
2082,2
2083,7
2084,2
2086,9
2087,6
2089,3
2090,9
2091,1
2094,5
2095,9
2096,10
2098,0
2099,2
2100,4
2101,6
2102,2
2103,9
2105,10
2106,4
2107,2
2108,1
2109,4
2110,1
2111,0
2112,8
2114,4
2115,2
2116,9
2117,6
2118,2
2119,2
2121,8
2123,2
2124,9
2125,6
2126,10
2127,9
2128,0
2129,3
2130,2
2131,10
2132,6
2133,2
2134,3
2135,4
2136,1
2137,6
2138,0
2139,2
2140,7
2141,4
2143,2
2146,3
2147,5
2148,0
2149,8
2150,4
2151,8
2152,8
2153,7
2154,2
2155,6
2157,6
2158,8
2159,0
2160,7
2161,6
2162,8
2163,3
2164,8
2165,0
2168,7
2169,5
2170,6
2171,10
2172,8
2173,0
2174,10
2175,0
2177,9
2179,0
2180,4
2182,3
2183,2
2184,2
2185,10
2186,3
2187,2
2188,8
2190,5
2191,8
2192,8
2193,4
2194,2
2195,2
2196,2
2197,7
2198,9
2199,0
2200,5
2202,6
2203,1
2204,9
2206,2
2208,9
2209,6
2210,6
2211,9
2212,6
2213,0
2214,1
2215,10
2216,0
2217,7
2218,4
2219,4
2220,0
2222,7
2223,7
2226,2
2227,7
2229,9
2230,0
2232,4
2234,4
2237,4
2238,3
2240,3
2241,1
2242,9
2245,0
2246,6
2248,0
2249,5
2251,5
2252,7
2255,7
2256,8
2258,8
2259,7
2260,2
2262,2
2263,7
2265,0
2266,0
2268,4
2270,5
2271,4
2273,10
2275,8
2276,10
2277,1
2278,7
2279,6
2280,6
2281,7
2282,4
2284,0
2286,6
2287,2
2291,4
2292,5
2293,2
2295,8
2296,2
2297,4
2298,9
2300,4
2301,7
2302,9
2303,4
2304,6
2305,0
2306,6
2307,3
2311,7
2312,2
2314,3
2315,6
2316,5
2317,1
2318,0
2319,6
2320,1
2321,8
2322,7
2323,0
2324,2
2325,3
2326,6
2327,9
2328,7
2329,9
2330,8
2334,6
2335,3
2336,10
2337,0
2338,6
2339,2
2340,0
2341,8
2342,2
2343,3
2344,6
2348,0
2349,0
2350,6
2351,9
2352,8
2353,3
2354,9
2356,5
2357,0
2358,0
2359,9
2360,1
2361,7
2363,3
2365,0
2366,9
2369,3
2370,7
2371,0
2373,4
2374,10
2375,6
2376,10
2377,4
2379,9
2380,0
2382,2
2383,8
2386,2
2387,8
2388,6
2389,7
2390,5
2391,6
2392,10
2393,7
2394,5
2395,1
2398,0
2399,2
2400,1
2401,0
2402,5
2403,7
2404,2
2405,0
2406,3
2407,4
2408,1
2410,9
2413,3
2415,2
2416,8
2417,6
2418,4
2422,7
2423,6
2424,1
2425,6
2428,3
2429,3
2430,3
2431,5
2432,7
2433,10
2435,3
2437,0
2438,9
2439,7
2440,3
2441,6
2442,2
2444,3
2446,8
2448,0
2449,5
2450,0
2451,2
2452,3
2453,8
2454,6
2455,0
2456,2
2457,5
2458,5
2459,5
2460,2
2462,2
2463,4
2465,9
2466,6
2468,7
2471,10
2472,2
2476,6
2482,9
2485,5
2490,3
2493,0
2497,2
2501,4
2502,6
2506,6
2509,4
2513,3
2517,10
2521,6
2525,6
2526,4
2536,4
2538,5
2539,9
2540,4
2545,2
2547,0
2551,8
2553,8
2554,8
2555,9
2557,8
2558,5
2560,10
2562,1
2563,4
2564,9
2565,8
2566,1
2568,6
2571,7
2574,2
2577,7
2580,9
2581,8
2582,0
2587,9
2588,0
2589,8
2593,4
2594,2
2595,0
2597,8
2598,5
2599,6
2600,8
2601,4
2602,4
2603,3
2604,7
2605,0
2606,0
2607,7
2608,2
2609,0
2610,2
2611,4
2612,4
2613,4
2614,6
2615,0
2616,10
2618,7
2619,2
2622,0
2625,7
2626,6
2627,5
2628,1
2630,0
2631,6
2632,6
2633,0
2637,4
2638,10
2644,4
2645,3
2647,6
2673,4
2684,8
2693,2
2694,3
2707,1
2718,0
2723,7
2727,3
2732,0
2749,2
2753,2
2754,0
2765,3
2775,2
2776,8
2779,0
2780,8
2787,1
2788,4
2795,7
2806,9
2810,0
2813,8
2821,0
2825,7
2827,10
2829,7
2834,7
2839,7
2841,6
2844,4
2847,4
2878,0
2879,1
2881,0
2883,8
2892,7
2895,9
2902,3
2919,6
2920,7
2925,7
2931,6
2934,5
2935,0
2937,4
2940,0
2943,9
2944,10
2945,5
2946,4
2949,2
2953,3
2954,6
2956,8
2957,0
2958,4
2959,0
2962,4
2963,7
2967,1
2969,0
2977,1
2978,2
2979,4
2982,4
2995,2
3001,4
3007,0
3027,6
3029,1
3031,6
3033,9
3036,6
3037,6
3040,6
3046,1
3048,2
