,cluster_11
13481,0
13482,0
13483,4
13487,6
13488,10
13489,6
13492,8
13493,7
13494,2
13495,1
13496,1
13497,4
13498,4
13500,8
13501,9
13502,8
13503,5
13505,0
13506,6
13507,6
13508,7
13509,5
13510,0
13511,8
13513,1
13514,4
13516,8
13518,3
13519,6
13521,8
13522,1
13523,7
13526,7
13527,3
13528,7
13530,7
13531,7
13533,9
13534,0
13537,8
13538,1
13539,1
13540,6
13542,0
13544,0
13545,6
13546,1
13547,1
13548,6
13549,9
13553,1
13556,1
13558,3
13559,2
13560,1
13561,6
13562,6
13564,3
13565,2
13567,7
13571,10
13575,6
13603,6
13616,7
13623,5
13626,8
13630,2
13635,3
13636,1
13642,4
13653,8
13654,8
13656,6
13658,0
13662,10
13665,6
13669,8
13670,1
13672,9
13676,9
13677,7
13682,3
13686,7
13687,7
13688,4
13689,0
13690,6
13691,7
13693,6
13694,7
13695,3
13696,5
13701,3
13702,0
13703,6
13704,10
13707,9
13708,6
13712,0
13716,10
13717,0
13718,6
13719,5
13721,0
13722,3
13724,2
13725,1
13726,6
13727,8
13729,3
13730,7
13732,2
13734,6
13735,5
13736,6
13737,10
13738,4
13740,4
13746,9
13748,3
13751,0
13756,8
13760,7
13763,6
13764,7
13768,1
13769,6
13771,7
13774,6
13776,1
13780,3
13781,0
13782,3
13783,7
13794,8
13796,10
13804,10
13805,3
13808,2
13810,9
13812,6
13816,4
13817,10
13822,2
13826,6
13829,7
13831,8
13835,7
13837,5
13838,4
13839,7
13843,5
13844,7
13854,8
13861,7
13872,7
13876,7
13878,3
13882,1
13884,8
13889,4
13895,7
13897,8
13898,10
13902,3
13904,6
13907,10
13909,7
13910,5
13915,7
13917,8
13919,9
13924,7
13929,4
13931,8
13936,6
13940,10
13941,1
13944,5
13945,1
13947,8
13948,5
13951,6
13954,6
13955,6
13957,8
13960,6
13961,10
13964,4
13967,8
13968,7
13969,9
13970,6
13972,2
13973,8
13974,5
13975,1
13976,1
13977,3
13978,0
13979,7
13980,0
13981,9
13982,6
13983,8
13984,4
13985,3
13986,9
13987,9
13989,7
13991,9
13992,2
13993,3
13994,10
13995,6
13996,3
13997,8
13998,5
13999,6
14000,7
14001,6
14002,7
14004,2
14005,1
14007,8
14011,5
14017,0
14020,0
14023,0
14024,4
14026,3
14027,5
14029,7
14030,0
14034,6
14035,7
14036,2
14037,2
14038,3
14039,3
14056,10
14070,7
14076,1
14082,7
14084,8
14087,6
14094,2
14097,10
14099,7
14104,2
14107,7
14108,2
14109,3
14110,10
14113,4
14114,5
14116,5
14119,3
14120,6
14121,6
14122,7
14123,6
14124,5
14134,6
14137,10
14139,10
14140,3
14141,6
14143,10
14144,7
14150,6
14155,4
14158,5
14161,6
14163,7
14166,3
14168,6
