,cluster
1479,6
1481,11
1484,1
1485,11
1487,5
1488,7
1489,4
1490,2
1491,3
1493,8
1494,0
1495,10
1496,2
1497,10
1498,8
1499,4
1501,1
1503,3
1504,6
1505,11
1506,2
1509,1
1512,2
1513,1
1515,11
1516,5
1517,11
1518,2
1519,4
1520,9
1521,11
1523,5
1524,4
1525,5
1526,1
1528,2
1529,5
1530,5
1531,2
1533,5
1536,3
1537,0
1538,1
1539,5
1540,10
1541,11
1542,4
1543,9
1544,2
1545,2
1547,4
1548,10
1550,0
1552,7
1554,3
1557,11
1558,9
1560,9
1562,5
1563,5
1564,3
1565,3
1566,4
1568,3
1569,2
1570,5
1571,8
1572,11
1573,11
1577,9
1578,0
1579,11
1580,11
1581,9
1582,10
1583,0
1584,8
1585,8
1586,11
1589,5
1590,5
1592,6
1595,9
1598,0
1600,9
1601,3
1602,8
1603,9
1605,5
1606,3
1609,10
1610,0
1611,0
1612,3
1615,7
1616,0
1617,7
1618,6
1619,3
1620,11
1621,4
1622,2
1623,6
1624,3
1625,11
1626,4
1627,10
1629,8
1630,7
1632,8
1633,4
1634,2
1636,2
1638,3
1639,3
1641,1
1642,8
1644,6
1645,1
1647,10
1649,11
1650,9
1651,6
1653,1
1654,4
1657,7
1659,6
1661,8
1662,4
1663,9
1665,11
1667,0
1668,11
1670,11
1671,4
1674,9
1675,6
1676,8
1677,5
1678,7
1680,9
1682,4
1686,11
1687,11
1688,2
1689,6
1690,9
1694,6
1695,4
1696,5
1697,10
1699,0
1700,8
1701,6
1702,9
1703,3
1705,2
1708,3
1710,3
1711,3
1714,3
1715,2
1716,4
1718,7
1720,11
1721,8
1722,2
1723,9
1724,8
1725,3
1729,5
1733,4
1734,4
1735,1
1737,4
1738,0
1739,2
1740,4
1742,10
1743,2
1744,5
1746,7
1751,3
1753,2
1755,2
1756,3
1762,3
1766,3
1767,4
1768,11
1769,0
1771,8
1774,7
1775,4
1776,5
1777,11
1778,2
1780,2
1782,6
1783,7
1784,11
1786,7
1787,3
1788,2
1790,8
1791,4
1792,3
1793,2
1794,0
1795,1
1796,2
1797,11
1799,4
1800,11
1801,9
1803,2
1804,2
1805,2
1808,2
1810,3
1811,9
1812,4
1813,7
1814,4
1815,9
1816,3
1817,4
1818,10
1819,7
1820,5
1821,2
1824,5
1825,6
1826,8
1827,0
1828,11
1829,8
1830,4
1831,6
1832,0
1833,3
1834,7
1836,11
1837,7
1838,8
1839,6
1841,2
1843,8
1844,3
1845,9
1847,1
1848,9
1850,9
1851,3
1852,5
1853,4
1854,1
1855,5
1856,3
1857,4
1858,1
1859,9
1860,1
1861,8
1863,9
1864,4
1865,4
1866,6
1868,11
1869,4
1871,1
1872,4
1874,2
1875,4
1876,11
1877,3
1881,4
1882,4
1884,7
1885,3
1888,7
1891,9
1892,7
1893,5
1894,5
1895,8
1896,7
1897,11
1899,8
1901,4
1903,5
1904,0
1905,2
1906,5
1909,4
1911,5
1912,3
1914,4
1915,4
1917,3
1918,2
1919,3
1920,11
1921,2
1922,8
1923,7
1924,11
1925,4
1926,2
1928,5
1929,7
1931,2
1933,11
1934,2
1935,6
1936,11
1938,3
1939,3
1940,9
1941,11
1942,4
1943,4
1944,11
1945,10
1947,2
1950,3
1951,6
1952,11
1954,2
1955,11
1958,0
1959,10
1960,5
1962,9
1963,7
1964,6
1966,7
1969,2
1971,1
1972,2
1973,1
1975,7
1976,11
1977,0
1978,2
1979,6
1980,5
1982,11
1985,11
1987,2
1988,3
1989,5
1990,10
1992,0
1993,4
1994,8
1995,4
1996,5
1997,9
1998,0
1999,3
2000,8
2001,3
2003,8
2005,2
2007,9
2008,11
2009,3
2010,5
2011,2
2012,4
2014,7
2015,10
2017,5
2018,11
2019,3
2020,4
2021,10
2022,4
2023,5
2024,3
2025,5
2026,3
2027,2
2029,2
2031,4
2032,8
2033,9
2034,4
2035,3
2036,7
2037,6
2038,6
2039,3
2041,11
2042,5
2043,11
2044,4
2045,4
2046,5
2047,2
2048,5
2049,5
2051,3
2052,6
2054,7
2055,10
2056,5
2057,11
2059,0
2061,8
2062,11
2063,3
2064,11
2065,10
2067,8
2068,7
2069,3
2070,3
2071,3
2074,9
2075,4
2076,1
2077,5
2078,8
2079,10
2082,4
2083,5
2084,4
2086,1
2087,2
2089,4
2090,0
2091,10
2094,8
2095,1
2096,7
2098,3
2099,4
2100,9
2101,2
2102,4
2103,0
2105,7
2106,9
2107,9
2108,10
2109,9
2110,5
2111,0
2112,11
2114,9
2115,4
2116,1
2117,2
2118,4
2119,4
2121,11
2123,4
2124,1
2125,2
2126,7
2127,8
2128,3
2129,11
2130,4
2131,7
2132,2
2133,4
2134,3
2135,9
2136,10
2137,2
2138,3
2139,4
2140,5
2141,9
2143,4
2146,11
2147,2
2148,3
2149,8
2150,9
