,0,1,2,3,4,5,6,7,8,9,10,11,12
48,0.9952474764411574,8.47725622495724e-36,2.2298900352389404e-06,1.0543793430333008e-07,1.4996476156609478e-15,3.5446969677056246e-18,3.367719656591599e-07,1.2768210558525546e-15,0.00029593037644138557,2.9510133666805334e-17,0.000307356437717424,0.004142024385151882,4.540259594334593e-06
49,1.4544339080111077e-40,3.1187442853155347e-34,0.019374304081157055,5.638496473005314e-50,1.694958051332923e-45,6.456524022794396e-24,0.00025377323822322023,4.1475065254487643e-13,1.37584324584512e-13,5.966823547641115e-25,3.497075570905425e-11,0.9803719226450971,2.841981045839518e-57
50,0.06652430884934571,2.464568275433115e-46,5.232071019508067e-17,0.9331251357476913,2.1519999002432935e-14,1.754429135124696e-49,2.667722624595935e-10,1.0028606406357201e-22,7.917784910213205e-05,1.9164104554849217e-49,0.00027136100333756814,1.5921673067132447e-08,3.6205366761323896e-10
51,2.093245925048092e-30,1.6537980252995791e-06,3.239763293097918e-10,7.151273334123339e-41,6.112831967959003e-66,6.422089327470909e-55,8.659363962730894e-08,0.9999981999743568,7.006649650726002e-36,1.9714107206447914e-78,5.931000383875145e-08,3.115523096223899e-23,5.3311308850572415e-15
52,2.8330696481071597e-14,8.945597689592402e-09,4.019307839486456e-10,7.779550264868062e-25,3.8118517016883356e-73,1.2468566895875487e-53,1.9059667019022458e-10,5.732592814293707e-05,8.445827714740723e-31,5.6795166091717995e-74,7.475459957833396e-07,1.9283586708143383e-22,0.9999419169877068
53,9.527974679791379e-08,1.0740201396997622e-16,5.605120763065027e-09,6.688219604508403e-17,1.7962508166399529e-44,2.535597780817631e-34,4.3611550219140215e-06,2.5807579658187875e-07,1.7648581948102115e-21,1.0472903203534255e-49,0.0003240640259384017,1.689276713553311e-14,0.9996712158583524
55,3.5366382596009604e-51,1.8830072100091398e-05,5.809697420062045e-06,1.1520571910145442e-80,8.34555365568442e-87,2.0133233331891792e-58,8.311093568433411e-06,0.9999670491369074,2.6206124605046103e-39,7.235798158961989e-79,3.902560723508672e-16,1.7943229952639723e-18,4.244936544659441e-38
56,8.652824400305924e-07,2.0392537742812407e-61,1.7475681979236515e-20,0.951564079132449,0.039812985311632354,1.3084133684506537e-07,6.400753875731695e-19,8.314333766531154e-33,6.216970814750852e-19,0.00862193889866949,2.588484037136197e-10,2.746228264371625e-10,5.125713133125337e-18
57,0.9998593388831257,2.040518367996056e-37,6.2667039129991e-10,5.447801198091926e-07,3.283719307398367e-15,2.9712770495143703e-05,1.0124012670453646e-06,5.387363102927877e-16,2.8192841710286174e-05,2.924431588242958e-07,3.566921206879369e-05,4.484936052138139e-05,3.866808603404329e-07
59,0.5811354113927245,4.505688605890876e-44,1.9767485254441097e-09,1.2095796119494897e-19,6.242034159533685e-12,1.4002427450618588e-18,1.0347550765009868e-07,8.463949979116818e-20,0.23471551936003934,3.128174426053258e-15,6.146905462175046e-05,0.1840874945710221,1.630941676664509e-10
60,8.838334345333515e-09,9.606805184413923e-70,6.75731558535867e-24,0.132346267510515,0.8583562283049336,2.2303091925946892e-09,1.5801484692727429e-21,2.904182311899204e-38,3.658023183431316e-18,0.00929749306246867,9.1339804514708e-13,5.252706910965971e-11,1.7522887697474678e-23
