,0,1,2,3,4,5,6,7,8,9,10,11
46,4.599589676347592e-24,0.9999654443130264,2.301148626377228e-12,1.6431065799945343e-13,5.997850789652283e-22,1.8508571414740138e-06,2.576873668265963e-25,7.467881407833903e-66,5.759213059346478e-24,3.270480282711093e-05,2.4532962337945242e-11,1.7362438341066417e-44
47,4.773278405691382e-06,1.7747640944684998e-06,1.85971701484986e-12,1.3372978233926721e-06,6.924733657832826e-07,3.9404764166019697e-13,2.1445176710407134e-15,7.506136467776291e-27,9.294033994731141e-21,0.9999914221837662,3.29301677772122e-27,2.92534694121449e-13
48,0.7691828789919881,1.8037046307406188e-11,0.0008890432895262792,0.055965481544469155,1.8384804110949207e-07,3.4569760306619973e-10,0.0001988954074939409,1.5694711807663498e-14,5.6513823763370736e-18,7.720640967017789e-05,1.3658618227632303e-27,0.17368631014505903
49,5.732816607377073e-78,1.0534718523865846e-17,0.9985465652028456,4.5898208461331815e-12,2.8662342932781553e-36,7.396141678668374e-07,0.0014526951722181026,6.943832389083567e-44,2.129650463820637e-24,6.17340501489912e-12,9.82761725803452e-25,1.642509734393146e-54
50,1.2602362807667032e-07,3.359269064735939e-13,6.819555728042096e-10,0.5995481569311608,0.3999184114826692,7.360509272592804e-18,4.521501921386068e-09,4.1657373415891775e-14,1.656036723280168e-48,0.0005166931331541652,1.2852752495147861e-37,1.6607225549548265e-05
51,5.640681282956512e-23,0.9999819439137528,3.8954714183818506e-15,2.019140667583338e-20,2.111109220411039e-32,1.7952917737920886e-06,4.243269816302106e-33,8.976248838674322e-68,1.3913722127243724e-58,1.6474343881430005e-09,1.625914703395057e-05,1.9844500992714777e-49
52,5.3385402988561945e-06,0.9999941254591281,1.6467393417423032e-14,1.0596999169929923e-16,3.2098964251127405e-28,3.8135693444849073e-07,4.290297636162414e-31,5.328030763925109e-61,1.3285462925278382e-55,1.177734674744298e-07,3.6870156794413516e-08,4.07081286398525e-30
53,0.034773005041556476,0.9448480783436621,2.9354780311067656e-07,1.3174123085768307e-07,3.818804912753425e-17,4.052638032082608e-05,2.1196496569264663e-18,9.664345578171164e-43,1.2744453291637395e-33,0.020337964926362383,1.905768357889419e-11,1.3811046059633403e-18
55,6.454072365448973e-66,2.397373520108234e-05,5.4258571181641155e-08,2.3252471325981326e-23,1.1225838871823113e-55,0.33754063581397403,1.048336947914589e-25,1.8626513169567477e-84,2.5279622173875985e-59,3.3717267037696376e-15,0.6624353361922456,3.513684113201614e-78
56,2.4110111867704325e-14,3.6606456683764054e-23,5.4582173151483495e-15,1.5330637126360286e-06,0.993330923974887,4.1755404426522494e-26,1.0287053176518347e-07,0.006595893876512392,6.710531818765894e-07,2.581220608905945e-10,2.283102814762837e-51,7.087490302522506e-05
