,0,1,2,3,4,5,6,7,8,9,10
56,1.0989014413653323e-06,5.767828931765284e-48,0.9693897715722982,2.324617287816265e-19,2.822435636325102e-08,3.311282443167857e-11,1.9084839174560408e-26,1.8726604918232173e-24,0.0012930719298440822,4.1404003476398705e-18,0.02931602933894634
57,0.9998899202720261,5.867520412559657e-27,1.650579304608306e-06,3.516452796991359e-05,4.65875773521577e-05,3.935370427502383e-06,2.1409740716152037e-05,3.796337265865367e-10,1.1889042650452395e-06,1.426482940550277e-07,1.1119270175877911e-14
59,0.5135420037505665,2.219908214919525e-32,1.2405501774484793e-18,0.4709890779243878,0.00021453243278699,6.662698172145935e-19,0.015254385792283037,7.43592638568697e-12,8.197592955551393e-15,4.633511466288483e-11,4.619434738142734e-11
60,7.82400087768453e-09,3.8462093877411865e-55,0.20444538852418084,1.518171473278551e-18,3.0572014376802075e-10,3.98245756099743e-13,3.095500108391882e-28,2.0202288265219e-28,0.002185552319179895,1.337335385359509e-23,0.7933690510265193
61,1.2270366835324784e-05,4.496708007217225e-19,2.2183470932606158e-07,9.191266382910236e-17,0.9710981005810883,1.0819969365346288e-09,2.7815647511751664e-12,1.8752353257291775e-09,6.264764988801863e-18,0.028889404257348563,4.87328607058039e-31
63,0.013950000626194796,2.4294041869993315e-20,4.185327061489923e-06,1.9422937779983297e-07,0.038788315055907324,3.275828016094278e-16,0.9470530823985536,0.00017400995469458931,3.357359492024729e-20,3.021240820899946e-05,2.276393974349357e-33
64,1.3382013667712909e-06,6.428756285805037e-49,0.9929319768298787,4.131374085781954e-17,3.544612889135378e-08,3.812667569943337e-11,5.766993658530915e-26,3.895459865077491e-24,0.00226269022336351,1.678819205793482e-19,0.004803959261131974
65,4.481850458032975e-07,5.722540331200422e-14,5.634266645500381e-26,3.046349446587553e-11,0.23414491106554036,5.006957565652134e-45,0.49718065118636834,0.2683834132587148,2.254929617518678e-52,0.00029057627381558367,2.6711343385143196e-46
66,4.183861023345644e-22,3.1559602943175105e-19,4.22948192302463e-42,1.1075232595886058e-08,1.2409962135935667e-07,1.0089349907298302e-16,0.9997886193122196,0.00021124455019581355,1.8974420956618943e-22,9.627292125042503e-10,1.6299205372634125e-40
67,1.9737758253067845e-07,2.0626936855888767e-53,0.8403119949124164,6.130584725394442e-19,4.948925333915751e-09,2.6943733195757545e-12,6.010713630468609e-27,1.9344065397154174e-26,0.002876685280910447,9.88725471902515e-22,0.156811117477468
68,1.1386801031041077e-23,2.5411146561683642e-06,3.890163922598586e-34,6.481064104175893e-27,7.183983257842473e-07,1.2932247517598208e-05,1.2255320637694756e-10,0.002925442755859142,4.4604948796271604e-21,0.9970583653610857,2.8622362315503053e-60
69,9.06547401573233e-13,0.002528857854739218,1.2248067114424493e-32,2.584187071041871e-31,1.5945090177939057e-12,2.89048836626176e-27,1.2264191655907403e-14,0.00021197421248929355,4.415152017945256e-45,0.9972591679302516,2.2107277598082286e-77
70,7.947295422383354e-35,0.9940614956749404,5.6182142500232144e-61,7.319371154800758e-43,1.3114408924356061e-13,2.9297557647998953e-25,1.3840542935633047e-16,0.0057744579689800605,3.402937385658501e-48,0.00016404635595141677,7.774567709064778e-84
71,0.1376885087660082,2.900720343949959e-16,3.4429673250674257e-20,1.439153668197713e-09,0.8131519919532181,2.7140860953406093e-17,0.013325288586988194,0.0040873752609688965,2.679832220451938e-23,0.03174683399366536,3.0328297559147655e-27
72,1.2211495342173336e-24,9.72659260583772e-16,1.287778239742073e-33,9.56221253563056e-30,3.6601783900029495e-08,0.9990098070200754,1.7400489780860407e-17,0.000989997678838145,1.1412002022520401e-07,4.457927892136257e-08,1.0871681098264832e-45
73,0.001600731777956294,2.3687335261798334e-27,0.030762792950984125,0.0007333988616783948,0.9614151713657558,8.677703219219055e-33,0.005487821461964041,9.968009676219069e-09,4.667207732547423e-33,7.36136292294479e-08,1.538166132179707e-14
74,9.410095138652596e-06,2.834572880266074e-47,0.9999740478700552,3.408294353061477e-19,3.549227471508377e-07,5.5740833496193676e-11,5.734322310057695e-26,3.2148327170113567e-23,1.565152407080732e-05,4.049750150726333e-18,5.355322490409183e-07
75,3.3971653950978133e-09,5.9835332510460006e-55,0.0002210800023365893,0.9997729799992001,2.0463845598879775e-12,3.340538293037205e-61,1.8939452799574208e-12,4.107563139732693e-28,3.2810574920617493e-50,1.2620202012659363e-24,5.936597359255159e-06
76,1.1169617179311543e-21,0.9992939130655212,8.607948465778947e-56,5.138156250020845e-50,1.615354951910566e-20,1.9534978917832079e-50,2.5739631548117315e-27,1.559907118719581e-09,9.521196707436788e-76,0.0007060853745732153,7.555672626033538e-86
77,0.9950913937274815,7.2686109022088084e-34,0.0002737954942139873,0.004598025540302673,1.1333491944668896e-05,2.5232260197568747e-51,2.5451700969530953e-05,5.753686692340489e-14,3.411412654382488e-48,4.5016922259253814e-11,1.0849470838377135e-14
78,6.916798967687938e-35,0.005341292837795978,4.0001569005223846e-63,3.7911470886834774e-33,4.724805665379337e-15,2.4088027567403596e-52,2.891459368655286e-10,0.9946585895072424,1.0490754583611691e-71,1.1736580807191175e-07,7.726212802919672e-93
80,0.0029463116538041524,3.75743509654524e-42,0.9595784976661672,1.7376290030627343e-16,3.0155350806346596e-05,1.2623456433140002e-07,2.7446074120582256e-22,3.3480477649642695e-19,0.03293125738487138,5.254868168129027e-14,0.0045136517097359745
81,3.2043863090197755e-48,3.7343008348579374e-07,6.469818466560746e-74,4.12340501211552e-46,4.4850352932922195e-15,0.04982756956722948,1.1339948104332413e-21,0.9501720568975157,2.1077925455010879e-19,1.0517238593724075e-10,2.1259464687033213e-81
82,1.2031943817934044e-05,2.9870460567812106e-29,1.2794117713476419e-09,2.3670899247702167e-21,1.4981154941808252e-05,0.1634707629093611,4.702867269993713e-17,4.7978787872264e-10,0.8365022222006262,3.205542923159429e-11,4.1099465839493064e-27
83,1.7246161025581758e-44,3.0617593906624434e-11,8.09606248039834e-66,1.068406517948385e-18,1.2600064175617097e-08,2.555047979601808e-32,0.03918499744307236,0.9608149893667179,9.43651460425308e-44,5.59524871945385e-10,4.088537980940134e-83
85,0.3071657674917555,2.39061590942303e-29,0.14669525528891428,2.7500157762198785e-20,0.5115474410268351,0.001049304525870215,4.92296453378825e-20,9.339798996449809e-12,0.033541672778829947,5.588716188799793e-07,6.8334910699817945e-12
86,0.9994033200553651,5.611359202206122e-28,0.0005750700333739073,1.5919933955908165e-10,2.1269547665420195e-05,2.3607515283848625e-08,8.083085235489171e-09,1.5841810738221413e-12,6.400950222765214e-11,3.084481957841099e-07,2.4145120363364074e-20
87,1.6912476559828103e-57,0.9999999143608741,2.6978347996244634e-91,6.665091990387816e-54,3.241053001150715e-26,4.466325267142327e-50,1.1468643319437368e-24,8.531911524172492e-08,2.0935759503807558e-77,3.200037665832073e-10,3.6893002504908425e-118
88,1.0105615822423678e-06,1.6568019474356138e-15,1.9884984124349293e-26,4.778310682885227e-11,0.06124799623608914,2.4255373074184922e-30,0.8942967089447854,0.04443610517372151,1.6955413178641388e-36,1.8179036035379257e-05,7.153351198859894e-29
89,0.9916755262072908,1.0924769526102644e-28,1.7364877864355939e-06,0.0006138094562791657,0.00634592797212479,1.0025392054374252e-35,0.001362981842827215,1.027333538388326e-10,1.9319624037048177e-33,1.793095520050002e-08,1.455062945169686e-17
90,4.6782942764407224e-39,2.0299262317392095e-18,1.2972942876019525e-58,4.812822680440702e-12,2.586513340091501e-10,1.4286664860055538e-31,0.9997906591888353,0.00020934053517478442,1.7091480582379542e-37,1.2524218795049742e-11,7.169620859850029e-44
91,2.3509017353493674e-51,0.05912065353536657,2.7906056473390034e-78,7.918566770694423e-39,6.436036781775223e-16,1.4195811405551826e-37,5.661202087523328e-12,0.9408793255065765,4.4634213871524454e-61,2.095239436383447e-08,6.326864366903237e-98
92,0.931286656976922,3.3054991409000612e-31,0.05469811512722714,2.343083373847264e-18,0.006173063529281768,0.0001566583751170327,1.808137194227165e-20,2.010259651142639e-12,0.0076854858085273255,1.9904141536047272e-08,2.767733866253361e-10
93,3.428151830835178e-41,0.999999602284853,1.1642142692454511e-72,2.282623368627861e-66,2.469917431774711e-22,2.6466308360391063e-17,3.534898655789824e-39,2.816271515880282e-07,3.2497118240611035e-44,1.1608799240024392e-07,1.201020573784274e-97
94,0.011450888969645565,1.3954792881639633e-35,0.9856284830528966,0.00022211645502874256,0.0026977207388569923,3.3167564136527227e-52,7.907541189477166e-07,2.3664909502372296e-15,1.492316783617451e-48,2.944818768171819e-11,2.1427050677514382e-26
